Resume,TECHNICAL_SKILL,COMPANY_NAME,TOOL,EDUCATION,EXPERIENCE,DESIGNATION,LOCATION,LANGUAGE,SOFT_SKILL,PAY,CERTIFICATION
"Experienced Product Manager, Backend Developer professional with expertise in Machine Learning, TensorFlow, Java, Docker and hands-on experience with Figma, Salesforce, Slack, Jira. Holding Bachelor's in Computer Science, Master's in Information Systems, Ph.D. in Data Science with 2+ years, Entry level of work experience. Previously worked at IBM, Google, Facebook, Microsoft located in Boston, MA, Austin, TX. Fluent in Spanish, English, German with strong Leadership, Communication Skills, Teamwork. Certified in Google Cloud Professional, Certified Scrum Master. Seeking new opportunities with an expected salary around $90k–$120k, $120k–$150k, $80k–$100k, $100k–$130k.","Machine Learning, TensorFlow, Java, Docker","IBM, Google, Facebook, Microsoft","Figma, Salesforce, Slack, Jira","Bachelor's in Computer Science, Master's in Information Systems, Ph.D. in Data Science","2+ years, Entry level","Product Manager, Backend Developer","Boston, MA, Austin, TX","Spanish, English, German","Leadership, Communication Skills, Teamwork","$90k–$120k, $120k–$150k, $80k–$100k, $100k–$130k","Google Cloud Professional, Certified Scrum Master"
"Experienced DevOps Engineer, Data Scientist, Software Engineer, Product Manager professional with expertise in Java, AWS, Python, Docker and hands-on experience with GitHub, Salesforce. Holding Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems with 7+ years, Entry level, 3-5 years, Mid-Senior level of work experience. Previously worked at Microsoft, Tesla located in Austin, TX, Seattle, WA. Fluent in Spanish, German, English with strong Leadership, Adaptability, Communication Skills, Problem-Solving. Certified in Google Cloud Professional, AWS Certified Solutions Architect, PMP Certification, Certified Scrum Master. Seeking new opportunities with an expected salary around $80k–$100k, $120k–$150k.","Java, AWS, Python, Docker","Microsoft, Tesla","GitHub, Salesforce","Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems","7+ years, Entry level, 3-5 years, Mid-Senior level","DevOps Engineer, Data Scientist, Software Engineer, Product Manager","Austin, TX, Seattle, WA","Spanish, German, English","Leadership, Adaptability, Communication Skills, Problem-Solving","$80k–$100k, $120k–$150k","Google Cloud Professional, AWS Certified Solutions Architect, PMP Certification, Certified Scrum Master"
"Experienced DevOps Engineer, Software Engineer professional with expertise in Java, Kubernetes, TensorFlow, Machine Learning and hands-on experience with Tableau, Jira, Salesforce, VS Code. Holding Bachelor's in Computer Science, Ph.D. in Data Science with 3-5 years, Entry level, 5+ years, 7+ years of work experience. Previously worked at Facebook, Microsoft located in New York, NY, Boston, MA. Fluent in English, German, French, Spanish with strong Adaptability, Leadership, Teamwork, Communication Skills. Certified in PMP Certification, Google Cloud Professional. Seeking new opportunities with an expected salary around $90k–$120k, $120k–$150k.","Java, Kubernetes, TensorFlow, Machine Learning","Facebook, Microsoft","Tableau, Jira, Salesforce, VS Code","Bachelor's in Computer Science, Ph.D. in Data Science","3-5 years, Entry level, 5+ years, 7+ years","DevOps Engineer, Software Engineer","New York, NY, Boston, MA","English, German, French, Spanish","Adaptability, Leadership, Teamwork, Communication Skills","$90k–$120k, $120k–$150k","PMP Certification, Google Cloud Professional"
"Experienced DevOps Engineer, Backend Developer, Software Engineer, Data Scientist professional with expertise in Docker, AWS and hands-on experience with Salesforce, Tableau. Holding Ph.D. in Data Science, Master's in Information Systems, Bachelor's in Computer Science with 3-5 years, 7+ years of work experience. Previously worked at Google, Netflix, Tesla located in Boston, MA, Chicago, IL. Fluent in Spanish, French, English, German with strong Leadership, Communication Skills, Problem-Solving, Teamwork. Certified in Certified Scrum Master, Google Cloud Professional, PMP Certification, AWS Certified Solutions Architect. Seeking new opportunities with an expected salary around $80k–$100k, $90k–$120k.","Docker, AWS","Google, Netflix, Tesla","Salesforce, Tableau","Ph.D. in Data Science, Master's in Information Systems, Bachelor's in Computer Science","3-5 years, 7+ years","DevOps Engineer, Backend Developer, Software Engineer, Data Scientist","Boston, MA, Chicago, IL","Spanish, French, English, German","Leadership, Communication Skills, Problem-Solving, Teamwork","$80k–$100k, $90k–$120k","Certified Scrum Master, Google Cloud Professional, PMP Certification, AWS Certified Solutions Architect"
"Experienced Backend Developer, Data Scientist, DevOps Engineer, Software Engineer professional with expertise in Python, AWS and hands-on experience with Slack, Salesforce. Holding Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems with Entry level, 5+ years, 2+ years, 7+ years of work experience. Previously worked at Amazon, IBM, Tesla, Microsoft located in Boston, MA, Chicago, IL. Fluent in English, French with strong Communication Skills, Adaptability, Leadership. Certified in AWS Certified Solutions Architect, Google Cloud Professional, Certified Scrum Master, PMP Certification. Seeking new opportunities with an expected salary around $80k–$100k, $90k–$120k, $120k–$150k, $100k–$130k.","Python, AWS","Amazon, IBM, Tesla, Microsoft","Slack, Salesforce","Bachelor's in Computer Science, Ph.D. in Data Science, Master's in Information Systems","Entry level, 5+ years, 2+ years, 7+ years","Backend Developer, Data Scientist, DevOps Engineer, Software Engineer","Boston, MA, Chicago, IL","English, French","Communication Skills, Adaptability, Leadership","$80k–$100k, $90k–$120k, $120k–$150k, $100k–$130k","AWS Certified Solutions Architect, Google Cloud Professional, Certified Scrum Master, PMP Certification"
"Experienced Backend Developer, Software Engineer professional with expertise in Python, Docker, Java and hands-on experience with Jira, Slack, Salesforce. Holding Ph.D. in Data Science, Master's in Information Systems, Bachelor's in Computer Science with 5+ years, 3-5 years, Mid-Senior level, 7+ years of work experience. Previously worked at Microsoft, Facebook, IBM, Tesla located in San Francisco, CA, Austin, TX, Seattle, WA, Chicago, IL. Fluent in German, French with strong Problem-Solving, Teamwork, Leadership. Certified in PMP Certification, Google Cloud Professional, AWS Certified Solutions Architect. Seeking new opportunities with an expected salary around $100k–$130k, $120k–$150k.","Python, Docker, Java","Microsoft, Facebook, IBM, Tesla","Jira, Slack, Salesforce","Ph.D. in Data Science, Master's in Information Systems, Bachelor's in Computer Science","5+ years, 3-5 years, Mid-Senior level, 7+ years","Backend Developer, Software Engineer","San Francisco, CA, Austin, TX, Seattle, WA, Chicago, IL","German, French","Problem-Solving, Teamwork, Leadership","$100k–$130k, $120k–$150k","PMP Certification, Google Cloud Professional, AWS Certified Solutions Architect"
"Experienced Software Engineer, DevOps Engineer, Data Scientist, Backend Developer professional with expertise in Python, TensorFlow, Machine Learning and hands-on experience with Slack, Jira, GitHub, Salesforce. Holding Bachelor's in Computer Science, Master's in Information Systems, Ph.D. in Data Science with 3-5 years, 7+ years, 5+ years of work experience. Previously worked at Google, Netflix, Apple, Facebook located in Chicago, IL, Boston, MA, New York, NY. Fluent in French, Spanish with strong Problem-Solving, Leadership. Certified in Google Cloud Professional, Certified Scrum Master. Seeking new opportunities with an expected salary around $90k–$120k, $100k–$130k, $80k–$100k.","Python, TensorFlow, Machine Learning","Google, Netflix, Apple, Facebook","Slack, Jira, GitHub, Salesforce","Bachelor's in Computer Science, Master's in Information Systems, Ph.D. in Data Science","3-5 years, 7+ years, 5+ years","Software Engineer, DevOps Engineer, Data Scientist, Backend Developer","Chicago, IL, Boston, MA, New York, NY","French, Spanish","Problem-Solving, Leadership","$90k–$120k, $100k–$130k, $80k–$100k","Google Cloud Professional, Certified Scrum Master"
"Experienced Data Scientist, Software Engineer professional with expertise in Java, TensorFlow, AWS and hands-on experience with Slack, Salesforce, Jira. Holding Master's in Information Systems, Ph.D. in Data Science, Bachelor's in Computer Science with 7+ years, 5+ years, Mid-Senior level, Entry level of work experience. Previously worked at Facebook, Amazon, Google located in Chicago, IL, Austin, TX. Fluent in German, Spanish with strong Leadership, Problem-Solving, Teamwork, Communication Skills. Certified in Google Cloud Professional, PMP Certification. Seeking new opportunities with an expected salary around $90k–$120k, $80k–$100k.","Java, TensorFlow, AWS","Facebook, Amazon, Google","Slack, Salesforce, Jira","Master's in Information Systems, Ph.D. in Data Science, Bachelor's in Computer Science","7+ years, 5+ years, Mid-Senior level, Entry level","Data Scientist, Software Engineer","Chicago, IL, Austin, TX","German, Spanish","Leadership, Problem-Solving, Teamwork, Communication Skills","$90k–$120k, $80k–$100k","Google Cloud Professional, PMP Certification"
"Experienced Data Scientist, Backend Developer professional with expertise in Docker, Kubernetes and hands-on experience with VS Code, GitHub, Tableau. Holding Ph.D. in Data Science, Bachelor's in Computer Science with 5+ years, 3-5 years, 7+ years of work experience. Previously worked at Microsoft, Facebook located in Chicago, IL, Boston, MA, New York, NY, Seattle, WA. Fluent in German, English, French, Spanish with strong Communication Skills, Teamwork, Problem-Solving, Leadership. Certified in PMP Certification, Certified Scrum Master, Google Cloud Professional, AWS Certified Solutions Architect. Seeking new opportunities with an expected salary around $80k–$100k, $120k–$150k, $90k–$120k.","Docker, Kubernetes","Microsoft, Facebook","VS Code, GitHub, Tableau","Ph.D. in Data Science, Bachelor's in Computer Science","5+ years, 3-5 years, 7+ years","Data Scientist, Backend Developer","Chicago, IL, Boston, MA, New York, NY, Seattle, WA","German, English, French, Spanish","Communication Skills, Teamwork, Problem-Solving, Leadership","$80k–$100k, $120k–$150k, $90k–$120k","PMP Certification, Certified Scrum Master, Google Cloud Professional, AWS Certified Solutions Architect"
"Experienced Product Manager, Backend Developer, Data Scientist professional with expertise in Java, TensorFlow, Machine Learning and hands-on experience with Salesforce, Slack, Jira, Tableau. Holding Bachelor's in Computer Science, Master's in Information Systems, Ph.D. in Data Science with Entry level, 3-5 years of work experience. Previously worked at Netflix, Tesla located in New York, NY, San Francisco, CA, Boston, MA. Fluent in French, Spanish, English with strong Problem-Solving, Leadership, Communication Skills, Adaptability. Certified in AWS Certified Solutions Architect, PMP Certification. Seeking new opportunities with an expected salary around $80k–$100k, $120k–$150k.","Java, TensorFlow, Machine Learning","Netflix, Tesla","Salesforce, Slack, Jira, Tableau","Bachelor's in Computer Science, Master's in Information Systems, Ph.D. in Data Science","Entry level, 3-5 years","Product Manager, Backend Developer, Data Scientist","New York, NY, San Francisco, CA, Boston, MA","French, Spanish, English","Problem-Solving, Leadership, Communication Skills, Adaptability","$80k–$100k, $120k–$150k","AWS Certified Solutions Architect, PMP Certification"
"Experienced DevOps Engineer, Software Engineer, Data Scientist professional with expertise in Kubernetes, Python, TensorFlow and hands-on experience with Jira, Figma, Tableau. Holding Ph.D. in Data Science, Master's in Information Systems with 3-5 years, 5+ years, Entry level, 2+ years of work experience. Previously worked at Netflix, Apple, Microsoft, IBM located in Boston, MA, Austin, TX, Chicago, IL, San Francisco, CA. Fluent in French, German with strong Teamwork, Communication Skills, Problem-Solving, Adaptability. Certified in AWS Certified Solutions Architect, Certified Scrum Master, Google Cloud Professional. Seeking new opportunities with an expected salary around $80k–$100k, $120k–$150k.","Kubernetes, Python, TensorFlow","Netflix, Apple, Microsoft, IBM","Jira, Figma, Tableau","Ph.D. in Data Science, Master's in Information Systems","3-5 years, 5+ years, Entry level, 2+ years","DevOps Engineer, Software Engineer, Data Scientist","Boston, MA, Austin, TX, Chicago, IL, San Francisco, CA","French, German","Teamwork, Communication Skills, Problem-Solving, Adaptability","$80k–$100k, $120k–$150k","AWS Certified Solutions Architect, Certified Scrum Master, Google Cloud Professional"
"Experienced Software Engineer, Backend Developer professional with expertise in Machine Learning, SQL and hands-on experience with Tableau, Salesforce, Jira. Holding Master's in Information Systems, Ph.D. in Data Science with 2+ years, Entry level of work experience. Previously worked at Apple, Tesla, Facebook, Google located in Austin, TX, Chicago, IL. Fluent in English, Spanish with strong Leadership, Adaptability, Problem-Solving, Communication Skills. Certified in Certified Scrum Master, PMP Certification, AWS Certified Solutions Architect. Seeking new opportunities with an expected salary around $120k–$150k, $90k–$120k, $100k–$130k.","Machine Learning, SQL","Apple, Tesla, Facebook, Google","Tableau, Salesforce, Jira","Master's in Information Systems, Ph.D. in Data Science","2+ years, Entry level","Software Engineer, Backend Developer","Austin, TX, Chicago, IL","English, Spanish","Leadership, Adaptability, Problem-Solving, Communication Skills","$120k–$150k, $90k–$120k, $100k–$130k","Certified Scrum Master, PMP Certification, AWS Certified Solutions Architect"
"Experienced Product Manager, Backend Developer, Data Scientist, DevOps Engineer professional with expertise in AWS, Kubernetes, TensorFlow and hands-on experience with Salesforce, Jira, VS Code, GitHub. Holding Master's in Information Systems, Bachelor's in Computer Science with 2+ years, 7+ years, 5+ years, Entry level of work experience. Previously worked at Tesla, Microsoft located in New York, NY, San Francisco, CA, Seattle, WA, Austin, TX. Fluent in Spanish, German, French, English with strong Communication Skills, Adaptability, Teamwork. Certified in AWS Certified Solutions Architect, Google Cloud Professional, PMP Certification, Certified Scrum Master. Seeking new opportunities with an expected salary around $120k–$150k, $80k–$100k, $100k–$130k.","AWS, Kubernetes, TensorFlow","Tesla, Microsoft","Salesforce, Jira, VS Code, GitHub","Master's in Information Systems, Bachelor's in Computer Science","2+ years, 7+ years, 5+ years, Entry level","Product Manager, Backend Developer, Data Scientist, DevOps Engineer","New York, NY, San Francisco, CA, Seattle, WA, Austin, TX","Spanish, German, French, English","Communication Skills, Adaptability, Teamwork","$120k–$150k, $80k–$100k, $100k–$130k","AWS Certified Solutions Architect, Google Cloud Professional, PMP Certification, Certified Scrum Master"
"Experienced Backend Developer, Product Manager professional with expertise in Python, Kubernetes, AWS, SQL and hands-on experience with Salesforce, Tableau, Jira. Holding Master's in Information Systems, Ph.D. in Data Science, Bachelor's in Computer Science with Entry level, Mid-Senior level of work experience. Previously worked at Netflix, IBM, Amazon located in Boston, MA, Seattle, WA. Fluent in French, German with strong Communication Skills, Adaptability. Certified in AWS Certified Solutions Architect, PMP Certification. Seeking new opportunities with an expected salary around $90k–$120k, $80k–$100k.","Python, Kubernetes, AWS, SQL","Netflix, IBM, Amazon","Salesforce, Tableau, Jira","Master's in Information Systems, Ph.D. in Data Science, Bachelor's in Computer Science","Entry level, Mid-Senior level","Backend Developer, Product Manager","Boston, MA, Seattle, WA","French, German","Communication Skills, Adaptability","$90k–$120k, $80k–$100k","AWS Certified Solutions Architect, PMP Certification"
"Experienced Backend Developer, DevOps Engineer professional with expertise in AWS, SQL, Python, TensorFlow and hands-on experience with Tableau, Slack. Holding Ph.D. in Data Science, Bachelor's in Computer Science with 5+ years, Entry level of work experience. Previously worked at Amazon, Tesla, Microsoft located in Chicago, IL, San Francisco, CA, New York, NY. Fluent in English, French, Spanish, German with strong Problem-Solving, Teamwork. Certified in Google Cloud Professional, PMP Certification, Certified Scrum Master. Seeking new opportunities with an expected salary around $90k–$120k, $120k–$150k.","AWS, SQL, Python, TensorFlow","Amazon, Tesla, Microsoft","Tableau, Slack","Ph.D. in Data Science, Bachelor's in Computer Science","5+ years, Entry level","Backend Developer, DevOps Engineer","Chicago, IL, San Francisco, CA, New York, NY","English, French, Spanish, German","Problem-Solving, Teamwork","$90k–$120k, $120k–$150k","Google Cloud Professional, PMP Certification, Certified Scrum Master"
"Experienced DevOps Engineer, Data Scientist, Software Engineer professional with expertise in SQL, Machine Learning, Docker, AWS and hands-on experience with Salesforce, Jira, GitHub. Holding Master's in Information Systems, Ph.D. in Data Science with Entry level, 7+ years of work experience. Previously worked at Amazon, Tesla, Google, IBM located in San Francisco, CA, Austin, TX. Fluent in French, Spanish, English with strong Teamwork, Adaptability, Leadership. Certified in AWS Certified Solutions Architect, Google Cloud Professional, Certified Scrum Master. Seeking new opportunities with an expected salary around $80k–$100k, $120k–$150k, $100k–$130k.","SQL, Machine Learning, Docker, AWS","Amazon, Tesla, Google, IBM","Salesforce, Jira, GitHub","Master's in Information Systems, Ph.D. in Data Science","Entry level, 7+ years","DevOps Engineer, Data Scientist, Software Engineer","San Francisco, CA, Austin, TX","French, Spanish, English","Teamwork, Adaptability, Leadership","$80k–$100k, $120k–$150k, $100k–$130k","AWS Certified Solutions Architect, Google Cloud Professional, Certified Scrum Master"
"Experienced DevOps Engineer, Backend Developer, Product Manager professional with expertise in Java, Machine Learning, TensorFlow and hands-on experience with Slack, Figma, Jira. Holding Bachelor's in Computer Science, Ph.D. in Data Science with 5+ years, 7+ years, 3-5 years, 2+ years of work experience. Previously worked at Microsoft, Google, Facebook, Netflix located in San Francisco, CA, New York, NY, Austin, TX, Boston, MA. Fluent in German, English, French, Spanish with strong Adaptability, Teamwork, Leadership. Certified in Google Cloud Professional, PMP Certification. Seeking new opportunities with an expected salary around $120k–$150k, $100k–$130k, $80k–$100k.","Java, Machine Learning, TensorFlow","Microsoft, Google, Facebook, Netflix","Slack, Figma, Jira","Bachelor's in Computer Science, Ph.D. in Data Science","5+ years, 7+ years, 3-5 years, 2+ years","DevOps Engineer, Backend Developer, Product Manager","San Francisco, CA, New York, NY, Austin, TX, Boston, MA","German, English, French, Spanish","Adaptability, Teamwork, Leadership","$120k–$150k, $100k–$130k, $80k–$100k","Google Cloud Professional, PMP Certification"
"Experienced Software Engineer, Data Scientist, Backend Developer, DevOps Engineer professional with expertise in Docker, Python and hands-on experience with GitHub, Figma, Tableau. Holding Ph.D. in Data Science, Master's in Information Systems, Bachelor's in Computer Science with 7+ years, 5+ years, Mid-Senior level, Entry level of work experience. Previously worked at Google, Facebook located in San Francisco, CA, Boston, MA, Austin, TX, New York, NY. Fluent in Spanish, French, German with strong Problem-Solving, Leadership. Certified in PMP Certification, Certified Scrum Master, AWS Certified Solutions Architect, Google Cloud Professional. Seeking new opportunities with an expected salary around $120k–$150k, $100k–$130k, $80k–$100k, $90k–$120k.","Docker, Python","Google, Facebook","GitHub, Figma, Tableau","Ph.D. in Data Science, Master's in Information Systems, Bachelor's in Computer Science","7+ years, 5+ years, Mid-Senior level, Entry level","Software Engineer, Data Scientist, Backend Developer, DevOps Engineer","San Francisco, CA, Boston, MA, Austin, TX, New York, NY","Spanish, French, German","Problem-Solving, Leadership","$120k–$150k, $100k–$130k, $80k–$100k, $90k–$120k","PMP Certification, Certified Scrum Master, AWS Certified Solutions Architect, Google Cloud Professional"
"Experienced Software Engineer, DevOps Engineer professional with expertise in TensorFlow, Machine Learning and hands-on experience with Tableau, Figma, GitHub. Holding Master's in Information Systems, Bachelor's in Computer Science with 2+ years, 5+ years, Entry level of work experience. Previously worked at Facebook, Netflix located in San Francisco, CA, Seattle, WA. Fluent in German, French, Spanish with strong Problem-Solving, Teamwork. Certified in Certified Scrum Master, AWS Certified Solutions Architect, Google Cloud Professional. Seeking new opportunities with an expected salary around $80k–$100k, $100k–$130k, $90k–$120k, $120k–$150k.","TensorFlow, Machine Learning","Facebook, Netflix","Tableau, Figma, GitHub","Master's in Information Systems, Bachelor's in Computer Science","2+ years, 5+ years, Entry level","Software Engineer, DevOps Engineer","San Francisco, CA, Seattle, WA","German, French, Spanish","Problem-Solving, Teamwork","$80k–$100k, $100k–$130k, $90k–$120k, $120k–$150k","Certified Scrum Master, AWS Certified Solutions Architect, Google Cloud Professional"
"Experienced Software Engineer, DevOps Engineer, Data Scientist, Backend Developer professional with expertise in SQL, Kubernetes and hands-on experience with GitHub, Tableau, Jira. Holding Master's in Information Systems, Ph.D. in Data Science, Bachelor's in Computer Science with 2+ years, 7+ years of work experience. Previously worked at IBM, Google located in New York, NY, Austin, TX, Chicago, IL, Boston, MA. Fluent in French, Spanish, English, German with strong Leadership, Communication Skills, Adaptability, Teamwork. Certified in PMP Certification, AWS Certified Solutions Architect. Seeking new opportunities with an expected salary around $120k–$150k, $80k–$100k, $100k–$130k.","SQL, Kubernetes","IBM, Google","GitHub, Tableau, Jira","Master's in Information Systems, Ph.D. in Data Science, Bachelor's in Computer Science","2+ years, 7+ years","Software Engineer, DevOps Engineer, Data Scientist, Backend Developer","New York, NY, Austin, TX, Chicago, IL, Boston, MA","French, Spanish, English, German","Leadership, Communication Skills, Adaptability, Teamwork","$120k–$150k, $80k–$100k, $100k–$130k","PMP Certification, AWS Certified Solutions Architect"
"Experienced Data Scientist, Product Manager professional with expertise in Machine Learning, Java, Docker, SQL and hands-on experience with VS Code, Figma. Holding Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems with 2+ years, 3-5 years, 5+ years, 7+ years of work experience. Previously worked at IBM, Netflix located in San Francisco, CA, Chicago, IL, New York, NY. Fluent in Spanish, German, English, French with strong Teamwork, Adaptability, Leadership. Certified in Google Cloud Professional, PMP Certification. Seeking new opportunities with an expected salary around $100k–$130k, $90k–$120k, $80k–$100k.","Machine Learning, Java, Docker, SQL","IBM, Netflix","VS Code, Figma","Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems","2+ years, 3-5 years, 5+ years, 7+ years","Data Scientist, Product Manager","San Francisco, CA, Chicago, IL, New York, NY","Spanish, German, English, French","Teamwork, Adaptability, Leadership","$100k–$130k, $90k–$120k, $80k–$100k","Google Cloud Professional, PMP Certification"
"Experienced Data Scientist, Backend Developer, DevOps Engineer, Software Engineer professional with expertise in Kubernetes, Python and hands-on experience with Slack, Salesforce. Holding Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems with 5+ years, 2+ years, Entry level, Mid-Senior level of work experience. Previously worked at Microsoft, Facebook located in Boston, MA, Chicago, IL, Seattle, WA, San Francisco, CA. Fluent in German, English, Spanish with strong Adaptability, Problem-Solving, Communication Skills, Teamwork. Certified in Google Cloud Professional, Certified Scrum Master, PMP Certification, AWS Certified Solutions Architect. Seeking new opportunities with an expected salary around $90k–$120k, $100k–$130k.","Kubernetes, Python","Microsoft, Facebook","Slack, Salesforce","Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems","5+ years, 2+ years, Entry level, Mid-Senior level","Data Scientist, Backend Developer, DevOps Engineer, Software Engineer","Boston, MA, Chicago, IL, Seattle, WA, San Francisco, CA","German, English, Spanish","Adaptability, Problem-Solving, Communication Skills, Teamwork","$90k–$120k, $100k–$130k","Google Cloud Professional, Certified Scrum Master, PMP Certification, AWS Certified Solutions Architect"
"Experienced Software Engineer, Data Scientist professional with expertise in Machine Learning, Docker and hands-on experience with Slack, GitHub, Figma. Holding Ph.D. in Data Science, Bachelor's in Computer Science with 5+ years, 2+ years of work experience. Previously worked at Facebook, IBM, Google located in Chicago, IL, Austin, TX, New York, NY. Fluent in French, German, English, Spanish with strong Problem-Solving, Adaptability, Leadership. Certified in PMP Certification, Google Cloud Professional, AWS Certified Solutions Architect, Certified Scrum Master. Seeking new opportunities with an expected salary around $100k–$130k, $90k–$120k, $120k–$150k.","Machine Learning, Docker","Facebook, IBM, Google","Slack, GitHub, Figma","Ph.D. in Data Science, Bachelor's in Computer Science","5+ years, 2+ years","Software Engineer, Data Scientist","Chicago, IL, Austin, TX, New York, NY","French, German, English, Spanish","Problem-Solving, Adaptability, Leadership","$100k–$130k, $90k–$120k, $120k–$150k","PMP Certification, Google Cloud Professional, AWS Certified Solutions Architect, Certified Scrum Master"
"Experienced DevOps Engineer, Backend Developer, Product Manager, Software Engineer professional with expertise in SQL, Kubernetes, Java and hands-on experience with GitHub, Slack. Holding Ph.D. in Data Science, Master's in Information Systems, Bachelor's in Computer Science with Entry level, 7+ years, 3-5 years, Mid-Senior level of work experience. Previously worked at IBM, Apple located in Austin, TX, San Francisco, CA, New York, NY. Fluent in Spanish, German with strong Teamwork, Communication Skills. Certified in AWS Certified Solutions Architect, PMP Certification. Seeking new opportunities with an expected salary around $90k–$120k, $100k–$130k.","SQL, Kubernetes, Java","IBM, Apple","GitHub, Slack","Ph.D. in Data Science, Master's in Information Systems, Bachelor's in Computer Science","Entry level, 7+ years, 3-5 years, Mid-Senior level","DevOps Engineer, Backend Developer, Product Manager, Software Engineer","Austin, TX, San Francisco, CA, New York, NY","Spanish, German","Teamwork, Communication Skills","$90k–$120k, $100k–$130k","AWS Certified Solutions Architect, PMP Certification"
"Experienced Data Scientist, Software Engineer, Product Manager, DevOps Engineer professional with expertise in Kubernetes, Docker and hands-on experience with Tableau, Salesforce, GitHub. Holding Bachelor's in Computer Science, Master's in Information Systems, Ph.D. in Data Science with Entry level, Mid-Senior level, 2+ years of work experience. Previously worked at Microsoft, Facebook, Netflix located in Chicago, IL, Seattle, WA, Austin, TX. Fluent in French, Spanish, German with strong Leadership, Teamwork. Certified in Certified Scrum Master, Google Cloud Professional, AWS Certified Solutions Architect. Seeking new opportunities with an expected salary around $100k–$130k, $80k–$100k, $90k–$120k.","Kubernetes, Docker","Microsoft, Facebook, Netflix","Tableau, Salesforce, GitHub","Bachelor's in Computer Science, Master's in Information Systems, Ph.D. in Data Science","Entry level, Mid-Senior level, 2+ years","Data Scientist, Software Engineer, Product Manager, DevOps Engineer","Chicago, IL, Seattle, WA, Austin, TX","French, Spanish, German","Leadership, Teamwork","$100k–$130k, $80k–$100k, $90k–$120k","Certified Scrum Master, Google Cloud Professional, AWS Certified Solutions Architect"
"Experienced Data Scientist, Software Engineer, DevOps Engineer, Backend Developer professional with expertise in AWS, Python, Java, TensorFlow and hands-on experience with Tableau, Salesforce. Holding Master's in Information Systems, Bachelor's in Computer Science, Ph.D. in Data Science with Mid-Senior level, 3-5 years of work experience. Previously worked at IBM, Amazon, Tesla located in San Francisco, CA, New York, NY, Austin, TX. Fluent in Spanish, English, German, French with strong Leadership, Communication Skills, Teamwork. Certified in AWS Certified Solutions Architect, Google Cloud Professional. Seeking new opportunities with an expected salary around $80k–$100k, $120k–$150k, $90k–$120k.","AWS, Python, Java, TensorFlow","IBM, Amazon, Tesla","Tableau, Salesforce","Master's in Information Systems, Bachelor's in Computer Science, Ph.D. in Data Science","Mid-Senior level, 3-5 years","Data Scientist, Software Engineer, DevOps Engineer, Backend Developer","San Francisco, CA, New York, NY, Austin, TX","Spanish, English, German, French","Leadership, Communication Skills, Teamwork","$80k–$100k, $120k–$150k, $90k–$120k","AWS Certified Solutions Architect, Google Cloud Professional"
"Experienced Data Scientist, DevOps Engineer, Software Engineer professional with expertise in Docker, Java and hands-on experience with GitHub, Jira, VS Code. Holding Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems with 2+ years, Entry level of work experience. Previously worked at Tesla, Netflix, IBM, Apple located in New York, NY, Boston, MA. Fluent in German, French with strong Teamwork, Adaptability. Certified in Certified Scrum Master, PMP Certification. Seeking new opportunities with an expected salary around $90k–$120k, $100k–$130k, $120k–$150k.","Docker, Java","Tesla, Netflix, IBM, Apple","GitHub, Jira, VS Code","Ph.D. in Data Science, Bachelor's in Computer Science, Master's in Information Systems","2+ years, Entry level","Data Scientist, DevOps Engineer, Software Engineer","New York, NY, Boston, MA","German, French","Teamwork, Adaptability","$90k–$120k, $100k–$130k, $120k–$150k","Certified Scrum Master, PMP Certification"
"Experienced Product Manager, Data Scientist, Backend Developer professional with expertise in SQL, Docker, Kubernetes and hands-on experience with GitHub, Jira, Tableau. Holding Master's in Information Systems, Bachelor's in Computer Science with 3-5 years, Mid-Senior level of work experience. Previously worked at IBM, Apple, Netflix located in Seattle, WA, Boston, MA, Chicago, IL. Fluent in Spanish, French, English, German with strong Teamwork, Problem-Solving, Leadership. Certified in Certified Scrum Master, AWS Certified Solutions Architect, Google Cloud Professional, PMP Certification. Seeking new opportunities with an expected salary around $90k–$120k, $100k–$130k.","SQL, Docker, Kubernetes","IBM, Apple, Netflix","GitHub, Jira, Tableau","Master's in Information Systems, Bachelor's in Computer Science","3-5 years, Mid-Senior level","Product Manager, Data Scientist, Backend Developer","Seattle, WA, Boston, MA, Chicago, IL","Spanish, French, English, German","Teamwork, Problem-Solving, Leadership","$90k–$120k, $100k–$130k","Certified Scrum Master, AWS Certified Solutions Architect, Google Cloud Professional, PMP Certification"
