resume_skills,jd_skills,label
"Creativity, Leadership, Stress Management","Effective Communication, Public Speaking, Mentorship, Patience, Teamwork",0.5430119348577085
"Confidence, Empathy, Conflict Resolution","Creativity, Confidence, Negotiation, Analytical Thinking, Collaboration, Work Ethic",0.602911003161821
"Communication, Negotiation, Emotional Intelligence","Stress Management, Problem Solving, Emotional Intelligence, Mentorship, Collaboration",0.5528249045926594
"Public Speaking, Leadership, Critical Thinking, Communication","Leadership, Mentorship, Teamwork, Communication, Decision Making",0.45345449167606144
"Leadership, Effective Communication, Conflict Resolution, Mentorship, Patience, Networking","Public Speaking, Decision Making, Team Collaboration",0.1232525849221573
"Problem Solving, Mentorship, Patience","Confidence, Communication, Stress Management, Public Speaking, Leadership",0.30282204470081836
"Effective Communication, Work Ethic, Coaching, Public Speaking, Leadership","Adaptability, Effective Communication, Coaching, Problem Solving, Team Collaboration",0.5732700657215577
"Critical Thinking, Leadership, Teamwork","Team Collaboration, Confidence, Decision Making, Stress Management, Work Ethic, Problem Solving",0.5830536164610091
"Critical Thinking, Leadership, Networking, Analytical Thinking, Communication, Conflict Resolution","Time Management, Patience, Conflict Resolution, Networking",0.5835118630046146
"Coaching, Interpersonal Skills, Critical Thinking, Teamwork, Problem Solving, Patience","Time Management, Interpersonal Skills, Negotiation, Coaching",0.22396625319040842
"Work Ethic, Active Listening, Creativity","Team Collaboration, Work Ethic, Stress Management",0.4440261058066021
"Active Listening, Negotiation, Emotional Intelligence, Creativity, Communication","Public Speaking, Time Management, Patience, Problem Solving",0.44364941517068474
"Adaptability, Leadership, Coaching","Adaptability, Creativity, Coaching, Teamwork, Emotional Intelligence",0.4841199143842305
"Public Speaking, Stress Management, Active Listening","Critical Thinking, Effective Communication, Confidence",0.43389797372799216
"Interpersonal Skills, Active Listening, Creativity","Adaptability, Interpersonal Skills, Empathy, Conflict Resolution, Emotional Intelligence, Leadership",0.5536765076886652
"Empathy, Negotiation, Stress Management, Adaptability, Decision Making, Emotional Intelligence","Active Listening, Work Ethic, Networking, Effective Communication",0.2932258406840735
"Critical Thinking, Effective Communication, Communication, Active Listening, Problem Solving, Coaching","Conflict Resolution, Creativity, Critical Thinking",0.12312145634110955
"Conflict Resolution, Negotiation, Interpersonal Skills, Empathy","Empathy, Confidence, Analytical Thinking, Decision Making, Conflict Resolution",0.503475918638562
"Emotional Intelligence, Problem Solving, Negotiation","Team Collaboration, Empathy, Leadership",0.5931975910545977
"Critical Thinking, Mentorship, Public Speaking, Coaching, Collaboration, Creativity","Mentorship, Work Ethic, Negotiation, Empathy, Networking, Communication",0.1732255789018765
"Effective Communication, Adaptability, Coaching","Collaboration, Patience, Networking",0.5630117066090574
"Decision Making, Public Speaking, Collaboration, Negotiation, Analytical Thinking, Communication","Creativity, Teamwork, Coaching, Team Collaboration",0.1832414873616523
"Collaboration, Patience, Stress Management, Effective Communication","Negotiation, Coaching, Mentorship, Leadership",0.3029800661450799
"Adaptability, Communication, Team Collaboration","Interpersonal Skills, Coaching, Confidence, Adaptability, Time Management",0.4830205233100682
"Work Ethic, Time Management, Empathy","Active Listening, Networking, Negotiation, Leadership, Effective Communication, Work Ethic",0.2323522757405101
"Interpersonal Skills, Networking, Collaboration, Effective Communication","Work Ethic, Critical Thinking, Leadership, Interpersonal Skills, Creativity",0.19225232732921713
"Communication, Effective Communication, Time Management","Negotiation, Empathy, Team Collaboration, Analytical Thinking, Networking",0.4919393155211239
"Patience, Coaching, Negotiation, Public Speaking, Problem Solving","Work Ethic, Negotiation, Confidence",0.12205412423986328
"Leadership, Work Ethic, Interpersonal Skills","Negotiation, Leadership, Emotional Intelligence",0.26185760966309646
"Conflict Resolution, Patience, Public Speaking","Coaching, Time Management, Leadership, Creativity, Active Listening, Networking",0.5212975307313585
"Decision Making, Adaptability, Patience, Public Speaking","Coaching, Stress Management, Conflict Resolution, Interpersonal Skills, Creativity, Empathy",0.1707463449212005
"Problem Solving, Effective Communication, Communication, Active Listening, Creativity","Time Management, Empathy, Decision Making",0.15047111988702125
"Mentorship, Collaboration, Creativity, Empathy","Emotional Intelligence, Networking, Stress Management",0.5002184482632599
"Analytical Thinking, Team Collaboration, Decision Making, Stress Management, Interpersonal Skills, Creativity","Stress Management, Time Management, Active Listening",0.42037466215875735
"Creativity, Negotiation, Communication, Work Ethic","Decision Making, Work Ethic, Stress Management",0.4804963836129095
"Team Collaboration, Stress Management, Problem Solving, Confidence, Networking, Critical Thinking","Analytical Thinking, Networking, Leadership",0.6008761485402072
"Decision Making, Team Collaboration, Communication, Active Listening","Conflict Resolution, Collaboration, Active Listening, Critical Thinking",0.5112823514598809
"Critical Thinking, Analytical Thinking, Problem Solving, Leadership","Public Speaking, Coaching, Time Management, Team Collaboration, Confidence, Networking",0.4608968406931382
"Analytical Thinking, Teamwork, Effective Communication, Leadership, Emotional Intelligence, Creativity","Confidence, Teamwork, Conflict Resolution, Networking, Emotional Intelligence",0.4212142613817485
"Team Collaboration, Networking, Patience","Coaching, Adaptability, Problem Solving, Communication, Effective Communication",0.43083747758981444
"Networking, Active Listening, Confidence, Empathy, Public Speaking","Coaching, Emotional Intelligence, Team Collaboration, Decision Making",0.24049368839431734
"Patience, Creativity, Team Collaboration, Interpersonal Skills, Negotiation","Analytical Thinking, Decision Making, Networking, Time Management",0.4801525741400924
"Negotiation, Networking, Patience, Teamwork, Analytical Thinking, Communication","Patience, Communication, Time Management, Team Collaboration, Coaching",0.1508568461257014
"Decision Making, Time Management, Creativity, Problem Solving, Team Collaboration","Problem Solving, Decision Making, Teamwork, Creativity",0.2119501128035204
"Negotiation, Mentorship, Empathy, Patience, Active Listening, Decision Making","Stress Management, Decision Making, Adaptability, Team Collaboration, Coaching",0.5320922693649727
"Negotiation, Work Ethic, Collaboration, Critical Thinking, Analytical Thinking, Problem Solving","Stress Management, Confidence, Networking, Active Listening, Patience, Time Management",0.28153996870460546
"Adaptability, Coaching, Team Collaboration","Critical Thinking, Communication, Team Collaboration, Mentorship",0.4817716715017524
"Conflict Resolution, Team Collaboration, Time Management, Analytical Thinking","Public Speaking, Time Management, Networking, Problem Solving, Conflict Resolution, Team Collaboration",0.5824728331217256
"Patience, Analytical Thinking, Team Collaboration, Creativity","Negotiation, Adaptability, Decision Making",0.49230457825410895
"Collaboration, Mentorship, Emotional Intelligence, Public Speaking, Team Collaboration","Creativity, Mentorship, Teamwork, Negotiation, Decision Making, Public Speaking",0.2929551152064994
"Networking, Collaboration, Patience","Conflict Resolution, Work Ethic, Team Collaboration, Patience, Networking, Creativity",0.5136204577085968
"Problem Solving, Critical Thinking, Networking, Empathy","Collaboration, Negotiation, Decision Making, Effective Communication, Conflict Resolution, Networking",0.1434367314892214
"Analytical Thinking, Empathy, Team Collaboration, Emotional Intelligence","Critical Thinking, Stress Management, Coaching",0.22340620346737977
"Analytical Thinking, Collaboration, Leadership","Teamwork, Team Collaboration, Adaptability, Emotional Intelligence, Negotiation, Work Ethic",0.23324757054603057
"Empathy, Interpersonal Skills, Networking, Leadership, Communication, Problem Solving","Collaboration, Communication, Adaptability, Critical Thinking, Confidence, Conflict Resolution",0.5133811311197292
"Interpersonal Skills, Collaboration, Active Listening, Adaptability","Decision Making, Public Speaking, Confidence, Coaching, Empathy, Critical Thinking",0.49279914687196563
"Active Listening, Emotional Intelligence, Time Management, Collaboration, Team Collaboration","Active Listening, Leadership, Communication, Analytical Thinking, Decision Making",0.4429857879604349
"Collaboration, Effective Communication, Active Listening","Stress Management, Confidence, Time Management",0.13268255680209476
"Team Collaboration, Empathy, Stress Management, Communication","Analytical Thinking, Coaching, Communication, Empathy",0.5831020856384352
"Team Collaboration, Interpersonal Skills, Conflict Resolution, Analytical Thinking","Conflict Resolution, Communication, Collaboration, Leadership, Patience, Mentorship",0.5834021748352444
"Teamwork, Problem Solving, Work Ethic, Effective Communication, Stress Management, Negotiation","Patience, Active Listening, Teamwork, Communication, Networking",0.5034191779279251
"Time Management, Networking, Patience","Creativity, Coaching, Adaptability, Time Management, Effective Communication, Work Ethic",0.5832853164422936
"Effective Communication, Problem Solving, Teamwork, Adaptability","Problem Solving, Analytical Thinking, Conflict Resolution, Emotional Intelligence, Public Speaking",0.5232600634321537
"Work Ethic, Decision Making, Active Listening","Active Listening, Analytical Thinking, Communication, Time Management",0.3034568216498234
"Conflict Resolution, Time Management, Collaboration, Leadership","Emotional Intelligence, Mentorship, Collaboration, Coaching, Analytical Thinking",0.19364002104116054
"Stress Management, Empathy, Mentorship, Coaching","Work Ethic, Creativity, Effective Communication, Decision Making",0.5932615290170224
"Analytical Thinking, Empathy, Confidence, Coaching","Conflict Resolution, Effective Communication, Coaching, Patience, Public Speaking",0.4331507198856673
"Patience, Stress Management, Work Ethic","Effective Communication, Time Management, Stress Management, Interpersonal Skills, Collaboration, Mentorship",0.14301586154595178
"Work Ethic, Adaptability, Public Speaking, Patience","Confidence, Time Management, Conflict Resolution, Stress Management, Adaptability, Emotional Intelligence",0.5628094771185546
"Negotiation, Problem Solving, Conflict Resolution","Team Collaboration, Decision Making, Work Ethic",0.2325830951122152
"Analytical Thinking, Conflict Resolution, Work Ethic, Mentorship, Patience","Conflict Resolution, Interpersonal Skills, Critical Thinking, Work Ethic, Patience",0.3035773232847299
"Coaching, Confidence, Analytical Thinking, Empathy, Creativity","Work Ethic, Empathy, Coaching, Communication, Negotiation, Stress Management",0.45374752739125346
"Teamwork, Leadership, Decision Making","Decision Making, Creativity, Analytical Thinking",0.2239576660187081
"Networking, Effective Communication, Public Speaking","Mentorship, Team Collaboration, Negotiation, Public Speaking, Interpersonal Skills, Time Management",0.5939929685340338
"Negotiation, Patience, Leadership, Analytical Thinking, Interpersonal Skills","Collaboration, Conflict Resolution, Effective Communication, Work Ethic, Time Management, Confidence",0.1637664118520899
"Communication, Time Management, Networking, Mentorship, Teamwork, Stress Management","Communication, Team Collaboration, Negotiation, Patience, Problem Solving",0.164001712738351
"Time Management, Work Ethic, Networking, Adaptability, Active Listening","Empathy, Coaching, Emotional Intelligence, Collaboration, Negotiation",0.5635103997770725
"Coaching, Interpersonal Skills, Time Management","Patience, Empathy, Stress Management, Communication",0.5932976534534025
"Interpersonal Skills, Mentorship, Emotional Intelligence, Work Ethic, Team Collaboration","Communication, Confidence, Creativity, Mentorship, Analytical Thinking",0.16335131222331445
"Collaboration, Active Listening, Teamwork, Effective Communication, Decision Making, Conflict Resolution","Stress Management, Public Speaking, Emotional Intelligence, Coaching",0.27309127889761475
"Communication, Team Collaboration, Public Speaking, Creativity, Coaching","Coaching, Negotiation, Decision Making",0.28328360670178054
"Teamwork, Decision Making, Work Ethic, Adaptability, Effective Communication","Decision Making, Time Management, Empathy, Effective Communication",0.5436372166184467
"Adaptability, Active Listening, Networking, Conflict Resolution, Empathy, Patience","Decision Making, Empathy, Active Listening",0.22411340073784042
"Public Speaking, Critical Thinking, Effective Communication, Work Ethic, Decision Making, Interpersonal Skills","Critical Thinking, Networking, Decision Making, Communication",0.314812592014836
"Coaching, Public Speaking, Active Listening, Effective Communication","Effective Communication, Adaptability, Mentorship, Negotiation",0.21501214102524988
"Team Collaboration, Stress Management, Coaching, Collaboration, Active Listening, Problem Solving","Active Listening, Leadership, Critical Thinking",0.17536470008750926
"Patience, Effective Communication, Stress Management, Negotiation, Decision Making, Emotional Intelligence","Adaptability, Interpersonal Skills, Confidence",0.1452371950071635
"Stress Management, Work Ethic, Analytical Thinking, Patience, Mentorship","Negotiation, Teamwork, Collaboration, Conflict Resolution",0.4849824737410579
"Creativity, Stress Management, Conflict Resolution, Patience, Public Speaking, Adaptability","Interpersonal Skills, Critical Thinking, Analytical Thinking",0.184733289230465
